Season,Team,TotalPoints,HomePoints,AwayPoints,TotalGoalsScored,HomeGoalsScored,AwayGoalsScored,TotalGoalsConceded,HomeGoalsConceded,AwayGoalsConceded,GoalDifference,TotalShots,TotalShotsOnTarget,TotalCorners,TotalFouls,TotalYellowCards,TotalRedCards,TransferBudget,ManagerName,ManagerWinPercentage,IsWinner,TeamWinPercentage,TeamWins
2010/11,Man United,80,55,25,78,49,29,37,12,25,41,543,310,245,396,58,3,140,Sir Alex Ferguson,58.1,1,68.4,23
2010/11,Chelsea,71,45,26,69,39,30,33,13,20,36,635,344,255,405,59,1,145,Carlo Ancelotti,55.2,0,60.5,21
2010/11,Man City,71,43,28,60,34,26,33,12,21,27,477,276,228,454,74,5,195,Roberto Mancini,54.7,0,55.3,21
2010/11,Arsenal,68,37,31,72,33,39,43,15,28,29,595,342,252,432,68,6,110,Arsène Wenger,54,0,52.6,19
2010/11,Tottenham,62,36,26,55,30,25,46,19,27,9,560,321,256,361,51,2,105,Harry Redknapp,40.1,0,50,16
2010/11,Liverpool,58,40,18,59,37,22,44,14,30,15,475,268,214,436,63,2,120,Roy Hodgson,46.5,0,47.4,17
2010/11,Everton,54,34,20,51,31,20,45,23,22,6,509,286,245,459,58,5,75,David Moyes,43.1,0,39.5,13
2010/11,Fulham,49,31,18,49,30,19,43,23,20,6,456,250,192,445,51,1,65,Mark Hughes,43.8,0,31.6,11
2010/11,Aston Villa,48,31,17,48,26,22,59,19,40,-11,436,241,235,437,71,2,80,Gérard Houllier,52.1,0,31.6,12
2010/11,Sunderland,47,26,21,45,25,20,56,27,29,-11,450,230,180,403,59,5,65,Steve Bruce,37.8,0,28.9,12
2010/11,West Brom,47,30,17,56,30,26,71,30,41,-15,523,287,189,391,54,7,40,Roberto Di Matteo,51.9,0,28.9,11
2010/11,Bolton,46,35,11,52,34,18,56,24,32,-4,498,275,202,480,67,5,50,Owen Coyle,41.5,0,28.9,12
2010/11,Newcastle,46,26,20,56,41,15,57,27,30,-1,434,252,203,440,75,2,70,Alan Pardew,41.8,0,28.9,11
2010/11,Stoke,46,34,12,46,31,15,48,18,30,-2,410,204,191,417,70,1,55,Tony Pulis,34.2,0,28.9,13
2010/11,Blackburn,43,28,15,46,22,24,59,16,43,-13,385,191,175,455,65,4,60,Steve Kean,0,0,28.9,11
2010/11,Wigan,42,23,19,40,22,18,61,34,27,-21,450,253,169,461,68,4,45,Roberto Martínez,44.8,0,23.7,9
2010/11,Wolves,40,28,12,46,30,16,66,30,36,-20,371,207,242,438,63,2,45,Mick McCarthy,40.3,0,23.7,11
